"Anno" "Operatore" "MP" "Nconf" "r" "esito1" "esito2" "ripetibilità" "Giudizio"
"1" 2015 "Ghidotti" "01/022" "316039" 0 93 93 0 "Favorevole"
"2" 2015 "Ghidotti" "01/054" "333965" 0.17 20000 20000 0 "Favorevole"
"3" 2015 "Ghidotti" "01/089" "284238" 0.28 6200 7000 0.052706350516003 "Favorevole"
"4" 2015 "Ghidotti" "01/091 22°C" "316015" 0.1 106 93 0.0568229167108354 "Favorevole"
"5" 2015 "Ghidotti" "01/091 36°C" "316015" 0.18 81 70 0.0633869788643928 "Favorevole"
"6" 2015 "Ghidotti" "01/092 H2Ocolif" "284337" 0.05 36 33 0.0377885608893997 "Favorevole"
"7" 2015 "Ghidotti" "01/092 H2Oe.coli" "284337" 0.11 34 30 0.0543576623225928 "Favorevole"
"8" 2015 "Ghidotti" "01/093 H2Ostre" "316029" 0.17 26 29 0.0474246499281381 "Favorevole"
"9" 2015 "Ghidotti" "01/101" "296836" 0.3 2900 2600 0.0474246499281383 "Favorevole"
"10" 2015 "Ghidotti" "01/102" "276340" 0.12 5700 6900 0.0829742350647638 "Favorevole"
"11" 2015 "Ghidotti" "01/110" "276340" 0.12 6400 6900 0.0326691167533681 "Favorevole"
"12" 2015 "Ghidotti" "01/111" "284238" 0.22 6500 7200 0.0444191397884128 "Favorevole"
"13" 2015 "Ghidotti" "01/112" "276340" 0.25 1700000 2e+06 0.0705810742857071 "Favorevole"
"14" 2015 "Ghidotti" "01/142" "296836" 0.29 490000 550000 0.0501666094657303 "Favorevole"
"15" 2015 "Ghidotti" "01/144" "296844" 0.1 31000 26000 0.0763883458634549 "Favorevole"
"16" 2015 "Ghidotti" "01/145" "296844" 0.21 21000 24000 0.0579919469776868 "Favorevole"
"17" 2015 "Ghidotti" "01/171" "276340" 0.08 6200 5500 0.0520290000040102 "Favorevole"
"18" 2015 "Ghidotti" "01/194" "276340" 0.04 220000 240000 0.0377885608893997 "Favorevole"
"19" 2015 "Marchioni" "01/022" "316039" 0 93 93 0 "Favorevole"
"20" 2015 "Marchioni" "01/054" "52175" 0.17 3400 3600 0.0248235837250323 "Favorevole"
"21" 2015 "Marchioni" "01/089" "44036" 0.28 7900 8000 0.00546289570150238 "Favorevole"
"22" 2015 "Marchioni" "01/091 22°C" "123894" 0.1 77 74 0.0172590054415056 "Favorevole"
"23" 2015 "Marchioni" "01/091 36°C" "123894" 0.18 74 73 0.00590885961052035 "Favorevole"
"24" 2015 "Marchioni" "01/092 H2Ocolif" "210743" 0.05 20 22 0.0413926851582249 "Favorevole"
"25" 2015 "Marchioni" "01/092 H2Oe.coli" "210743" 0.11 14 16 0.0579919469776868 "Favorevole"
"26" 2015 "Marchioni" "01/093 H2Ostre" "210743" 0.17 25 27 0.0334237554869496 "Favorevole"
"27" 2015 "Marchioni" "01/101" "44051" 0.3 540000 510000 0.0248235837250315 "Favorevole"
"28" 2015 "Marchioni" "01/102" "43840" 0.12 3600 3400 0.0248235837250323 "Favorevole"
"29" 2015 "Marchioni" "01/110" "43840" 0.12 2900 2500 0.0644579892269186 "Favorevole"
"30" 2015 "Marchioni" "01/111" "44036" 0.22 8000 8400 0.0211892990699378 "Favorevole"
"31" 2015 "Marchioni" "01/112" "44038" 0.25 110000 140000 0.104735350520013 "Favorevole"
"32" 2015 "Marchioni" "01/142" "44036" 0.29 30000 27000 0.0457574905606757 "Favorevole"
"33" 2015 "Marchioni" "01/144" "44053" 0.1 94000 94000 0 "Favorevole"
